genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Dnajc2	0.19	IZ	1	[]
Auts2	0.59	TTR or breakage	17	[('IZ', 3), ('termination', 3)]
Nsun7	0.23	IZ	1	[]
Zcwpw1	0.2	other	2	[]
Rell1	0.23	TTR or breakage	2	[]
Cc2d2a	0.26	TTR or breakage	2	[]
Adam22	0.35	TTR or breakage	7	[]
Gc	0.78	TTR or breakage	2	[]
Steap1	0.5	TTR or breakage	1	[]
Slc5a1	0.19	TTR or breakage	1	[('termination', 1)]
Ptpn12	0.18	TTR or breakage	2	[('IZ', 1)]
Sdad1	0.2	other	2	[]
Mrps18c	0.24	TTR or breakage	2	[]
Clock	0.23	IZ	3	[]
Limch1	0.41	TTR or breakage	7	[('termination', 1)]
Pttg1ip2	0.53	TTR or breakage	2	[]
Baz1b	0.12	CTR	2	[]
Grk4	0.21	TTR or breakage	3	[]
Add1	0.14	TTR or breakage	2	[]
Vwf	0.16	TTR or breakage	4	[]
Cadps2	0.76	TTR or breakage	9	[('termination', 3)]
Mat2a	0.16	TTR or breakage	1	[]
Ipo8	0.18	TTR or breakage	2	[]
Eif2ak3	0.28	IZ	2	[('TTR or breakage', 1)]
Grm8	0.83	TTR or breakage	11	[('other', 7)]
Arhgap25	0.32	TTR or breakage	2	[]
Smarcad1	0.14	IZ	2	[('TTR or breakage', 1)]
Cd69	0.74	TTR or breakage	1	[]
Tbxas1	0.26	TTR or breakage	3	[('other', 2)]
Wasl	0.49	IZ	1	[('TTR or breakage', 1)]
Clec2e	0.63	TTR or breakage	2	[]
Vps50	0.42	noisy	4	[]
Klrh1	0.9	TTR or breakage	1	[]
Dnah6	0.25	TTR or breakage	3	[('other', 2)]
Cped1	0.52	TTR or breakage	7	[]
Gm6614	0.83	TTR or breakage	2	[]
Dync1i1	0.44	TTR or breakage	5	[('other', 2)]
Akr1b10	0.3	TTR or breakage	1	[]
Dennd5b	0.14	IZ	2	[('other', 2)]
Tmem40	0.1	IZ	2	[]
Cpa4	0.21	TTR or breakage	1	[]
Aplf	0.24	TTR or breakage	2	[]
Kdm3a	0.24	other	2	[]
Ptprz1	0.62	TTR or breakage	3	[('termination', 1), ('IZ', 1)]
Casd1	0.42	TTR or breakage	1	[]
Tcaf3	0.74	TTR or breakage	1	[]
Podxl	0.25	TTR or breakage	2	[]
Braf	0.18	TTR or breakage	3	[]
C87436	0.12	IZ	2	[]
Adamts9	0.35	TTR or breakage	4	[]
Amn1	0.17	other	1	[]
Rimklb	0.19	TTR or breakage	2	[]
M1ap	0.14	IZ	2	[('other', 1)]
Gucy2c	0.3	TTR or breakage	3	[]
Olfr654	0.67	TTR or breakage	1	[]
Hdgfl3	0.22	other	2	[]
Btbd16	0.19	TTR or breakage	2	[]
Trim6	0.36	TTR or breakage	1	[]
Swap70	0.13	TTR or breakage	2	[]
Epp13	0.14	IZ	1	[]
Zfp939	0.34	TTR or breakage	2	[]
Zfp74	0.1	TTR or breakage	1	[('other', 1)]
Mosmo	0.23	TTR or breakage	2	[]
Pex11a	0.15	CTR	1	[]
Plekha1	0.22	TTR or breakage	2	[]
Pcf11	0.22	TTR or breakage	1	[('IZ', 1)]
