genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Tcaf3	0.66	TTR or breakage	1	[]
Podxl	0.27	CTR	2	[]
Braf	0.2	TTR or breakage	3	[]
C87436	0.18	TTR or breakage	2	[]
Adamts9	0.28	IZ	2	[('other', 2)]
Amn1	0.3	TTR or breakage	1	[]
Rimklb	0.52	TTR or breakage	1	[('noisy', 1)]
M1ap	0.21	TTR or breakage	3	[]
Gucy2c	0.4	TTR or breakage	3	[]
Olfr654	0.84	CTR	1	[]
Hdgfl3	0.29	TTR or breakage	2	[]
Btbd16	0.2	TTR or breakage	2	[]
Trim6	0.83	other	1	[]
Swap70	0.18	TTR or breakage	2	[]
Epp13	0.44	TTR or breakage	1	[]
Zfp939	0.71	other	2	[]
Zfp74	0.21	TTR or breakage	2	[]
Mosmo	0.34	TTR or breakage	2	[]
Pex11a	0.2	other	1	[]
Plekha1	0.22	TTR or breakage	2	[]
Pcf11	0.31	TTR or breakage	2	[]
Mettl9	0.3	IZ	1	[('TTR or breakage', 1)]
Insyn2a	0.59	TTR or breakage	1	[('termination', 1)]
Eif3k	0.17	TTR or breakage	1	[]
Mcmbp	0.24	TTR or breakage	2	[]
Far1os	0.31	TTR or breakage	1	[('other', 1)]
Pdzd9	0.36	TTR or breakage	1	[]
Mir290b	0.54	TTR or breakage	1	[]
Ttc23	0.28	other	4	[]
Dock1	0.51	TTR or breakage	9	[('termination', 2)]
Dennd5a	0.16	other	3	[]
Samd4b	0.19	CTR	5	[]
Otoa	0.34	TTR or breakage	3	[]
Fam169b	0.32	IZ	2	[('TTR or breakage', 1)]
Ces1e	0.53	TTR or breakage	1	[]
Adam3	0.36	other	2	[]
Nae1	0.32	IZ	1	[]
Pcm1	0.41	TTR or breakage	3	[]
Myo16	0.31	TTR or breakage	10	[]
Ist1	0.26	TTR or breakage	1	[]
Cmip	0.28	TTR or breakage	5	[]
Kcnn1	0.14	TTR or breakage	2	[]
Cep44	0.75	TTR or breakage	2	[]
Hydin	0.3	TTR or breakage	7	[('termination', 1)]
Lrrc36	0.14	TTR or breakage	1	[('IZ', 1)]
Itgb1	0.41	TTR or breakage	2	[]
Kars	0.24	TTR or breakage	2	[]
A330008L17Rik	0.81	CTR	4	[('other', 2), ('IZ', 1)]
Wwc2	0.24	CTR	4	[]
Afg3l1	0.17	other	2	[]
Ankrd10	0.18	TTR or breakage	1	[]
Cngb1	0.21	other	3	[]
Itfg1	0.38	TTR or breakage	3	[]
Crispld2	0.13	other	3	[]
Ddx60	0.45	TTR or breakage	3	[]
Cmtm1	0.33	TTR or breakage	2	[]
Pard3	0.39	TTR or breakage	10	[('termination', 2)]
Ddx19b	0.16	CTR	1	[]
Tusc3	0.82	CTR	3	[('other', 1)]
Pkd1l2	0.3	TTR or breakage	3	[]
Bco1	0.27	TTR or breakage	2	[]
Sap30	0.31	CTR	1	[]
Herpud2	0.5	IZ	2	[]
Adam10	0.27	other	3	[]
Dmxl2	0.34	TTR or breakage	4	[]
Abhd5	0.27	other	1	[]
Neo1	0.25	other	4	[]
Idh3a	0.26	TTR or breakage	2	[]
Onecut1	0.25	TTR or breakage	1	[]
Bnip2	0.25	other	2	[]
Trpc1	0.37	TTR or breakage	2	[]
9530059O14Rik	0.3	other	3	[]
Col5a3	0.19	TTR or breakage	2	[]
Atr	0.32	TTR or breakage	3	[]
Sorl1	0.24	TTR or breakage	4	[]
Sacm1l	0.34	other	2	[]
Herc1	0.22	other	4	[]
Plscr1	0.65	TTR or breakage	2	[]
Mapk6	0.19	IZ	1	[('TTR or breakage', 1)]
