genename	rnapol2
Samd4b	yes
Shprh	yes
Srsf5	yes
Tbc1d5	yes
Ttc3	yes
Wdr27	yes
Yipf4	yes
Abca12	no
Abca2	yes
Abca4	no
Agmo	no
B4galt1	no
Cadps2	no
Ccdc141	no
Ccdc152	no
Ccdc68	no
Cd226	no
Col4a4	no
Csf3r	no
Cubn	no
Dmxl2	no
Dnajc11	yes
Etf1	yes
Eya3	yes
Hfm1	yes
Hmga2	no
Mrpl1	yes
Olfr654	no
Ppp2r5c	yes
Ralgapa2	yes
Shisa4	yes
Slc3a2	yes
Usp9x	yes
Acad9	yes
Add1	yes
Chd7	no
Cog3	yes
Cpeb3	yes
Dld	yes
Ect2	yes
Enpp1	no
Flicr	yes
Gucy2c	yes
Hells	yes
Il33	no
Kif1b	yes
Krt10	yes
Lpin2	yes
Lrriq4	no
Med12l	yes
Mrps18c	no
Npas2	no
Pcgf6	yes
Pde6a	no
Pdzd9	no
Plscr1	yes
Poln	yes
Ppp6c	yes
Prdm1	no
Rnf25	yes
Shox2	no
Slc35a1	yes
Tube1	yes
Wasl	yes
1700028K03Rik	no
Amn1	yes
Braf	no
Casp8ap2	yes
Clec2e	no
Crem	yes
Cul4b	yes
Dbf4	yes
Desi1	yes
Dnajc1	yes
Elavl4	no
G6pdx	yes
Kif15	yes
Klf7	yes
Limch1	no
Lrfn5	no
Mcu	yes
Swap70	yes
Wnk2	no
Zfp286	yes
AU015836	no
Bco1	no
Ccdc66	yes
Epb41l5	no
Fbxo16	no
Kars	yes
Kcnt2	no
Map3k15	no
Map3k5	yes
Neu4	no
Nrcam	no
Pard3	no
Patl1	yes
Pfdn4	no
Sap30	yes
Tbcd	yes
U2surp	yes
Usp21	yes
Wdr90	yes
Ybey	yes
Auts2	no
Cngb1	no
Crispld2	yes
Csde1	yes
Mastl	yes
Mir290b	no
Myh3	no
Prom1	no
Prpsap1	yes
Ptk2	yes
Srp72	yes
Stk38	yes
Tpbg	no
Adcy10	no
Caap1	yes
Cep44	yes
Cyp26a1	no
Dnah6	no
Fnip2	no
Ltn1	yes
Mettl9	yes
Mosmo	yes
Pak1ip1	yes
Parp14	yes
Pdia3	yes
Plod2	yes
Sbno1	yes
Slc12a6	yes
